network,subset_size,replicate,pair_i,pair_j,delay_steps,delay_ms,observed_W_bits,observed_M_bits,observed_TDMI_bits,observed_TDMI_counts_bits,z,p_upper,n_null_valid,n_attempts
2class_local_hom,8,3,8,19,4,16.0,0.46048002762675244,0.0015273851131003546,0.4620074127398528,0.46200741050918415,-1.823098106120977,1.0,10,10
2class_local_hom,8,3,8,21,4,16.0,0.439209401146768,4.95405117151293e-06,0.4392143551979395,0.439214353519125,-3.0311846349011415,1.0,10,10
2class_local_hom,8,3,8,23,4,16.0,0.45525907564047396,-1.2938225704584028e-05,0.4552461374147694,0.4552461370235481,-2.1240491562568073,1.0,10,10
2class_local_hom,8,3,19,21,4,16.0,0.022856321899041576,2.5484616216236988e-05,0.022881806515257813,0.02288180449880218,-1.8965553815150662,1.0,10,10
2class_local_hom,8,3,19,23,4,16.0,0.0440836930001664,-2.1646375300943266e-05,0.04406204662486546,0.04406204633158517,-1.4771302562434176,1.0,10,10
2class_local_hom,8,3,21,23,4,16.0,0.021360995093265944,-3.199561928926564e-05,0.02132899947397668,0.021328997950208733,-2.011654246557352,1.0,10,10
2class_fittedhet_lu,4,1,3,5,4,16.0,0.08043498978240216,-6.066656791370306e-05,0.08037432321448845,0.08037432290650914,-2.148785535155236,1.0,10,10
2class_fittedhet_lu,4,1,3,17,4,16.0,0.0026095451512055112,0.0,0.0026095451512055112,0.0026095451393754942,-1.2912755735080377,1.0,10,10
2class_fittedhet_lu,4,1,3,21,4,16.0,0.4108712381959909,0.0005949235812849896,0.4114661617772759,0.411466160180257,-2.6668443508834936,1.0,10,10
2class_fittedhet_lu,4,1,5,17,4,16.0,0.07684726302028733,-1.1102230246251565e-16,0.07684726302028722,0.07684726301144067,-2.36375759960203,1.0,10,10
2class_fittedhet_lu,4,1,5,21,4,16.0,0.4757402364708474,0.006161645143284211,0.4819018816141316,0.4819018804153406,-2.041340629924343,1.0,10,11
2class_fittedhet_lu,4,1,17,21,4,16.0,0.4073206166781582,0.0,0.4073206166781582,0.4073206166777865,-2.136650031997292,1.0,10,10
2class_fittedhet_lu,4,2,5,17,4,16.0,0.07684726302028733,-1.1102230246251565e-16,0.07684726302028722,0.07684726301144067,-1.4812276249903809,1.0,10,10
2class_fittedhet_lu,4,2,5,25,4,16.0,0.07684726302028733,-1.1102230246251565e-16,0.07684726302028722,0.07684726301144067,-2.167959085927048,1.0,10,10
2class_fittedhet_lu,4,2,5,28,4,16.0,0.3362555186137728,0.001074513463814153,0.33733003207758694,0.3373300308818311,-2.6716157113604413,1.0,10,10
2class_fittedhet_lu,4,2,17,25,4,16.0,-1.4426951601859516e-10,0.0,-1.4426951601859516e-10,0.0,-1.5409659870489958,1.0,10,10
2class_fittedhet_lu,4,2,17,28,4,16.0,0.2576332769107186,0.0,0.2576332769107186,0.25763327691011284,-1.5102527994265658,1.0,10,10
2class_fittedhet_lu,4,2,25,28,4,16.0,0.2576332769107186,0.0,0.2576332769107186,0.25763327691011284,-1.7964771498300998,1.0,10,10
2class_fittedhet_lu,4,3,14,18,4,16.0,0.0049359481019385365,-0.00014102890214595654,0.00479491919979258,0.004794918413939209,-1.5015151585510518,1.0,10,10
2class_fittedhet_lu,4,3,14,30,4,16.0,0.04136789366101268,-5.765464499862816e-05,0.04131023901601405,0.04131023793181547,-2.255157214611242,1.0,10,10
2class_fittedhet_lu,4,3,14,31,4,16.0,0.2740927052690356,0.0005261493639514558,0.2746188546329871,0.274618853422817,-1.8920014031667192,1.0,10,10
2class_fittedhet_lu,4,3,18,30,4,16.0,0.04226700685886986,-5.9788453153131194e-05,0.04220721840571673,0.042207217808959904,-2.133009157062688,1.0,10,10
2class_fittedhet_lu,4,3,18,31,4,16.0,0.2728869184670266,0.004084627061663237,0.27697154552868986,0.2769715443436716,-1.7933359788421699,1.0,10,10
2class_fittedhet_lu,4,3,30,31,4,16.0,0.3097642072789144,0.0004200165050824989,0.3101842237839969,0.3101842230353738,-2.4687291383929386,1.0,10,10
2class_fittedhet_lu,8,1,1,5,4,16.0,0.07812092423922656,-4.0233608602391335e-05,0.07808069063062417,0.07808069002533585,-2.087146051375087,1.0,10,10
2class_fittedhet_lu,8,1,1,6,4,16.0,0.0011836585152488338,0.0,0.0011836585152488338,0.0011836582122273867,-1.0248624245424764,1.0,10,10
2class_fittedhet_lu,8,1,1,17,4,16.0,0.0011836585152488338,0.0,0.0011836585152488338,0.0011836582122273867,-1.1286450356412139,1.0,10,10
2class_fittedhet_lu,8,1,1,21,4,16.0,0.4084235138599601,0.00037556255707782427,0.40879907641703794,0.4087990739320991,-1.6518376191473563,1.0,10,10
2class_fittedhet_lu,8,1,1,22,4,16.0,0.13038346597869,8.252407160735942e-05,0.13046599005029735,0.13046598885527735,-2.5127111500519814,1.0,10,10
2class_fittedhet_lu,8,1,1,27,4,16.0,0.006555883267464785,-0.00016569159079773965,0.006390191676667045,0.006390191215739232,-2.123142276166662,1.0,10,10
